Date,Product,Sales
2018-01,Board Games,9
2018-01,Electronics,16
2018-01,Jigsaw Puzzles,12
2018-01,Lego,13
2018-01,Outdoor,39
2018-02,Board Games,7
2018-02,Electronics,15
2018-02,Jigsaw Puzzles,11
2018-02,Lego,16
2018-02,Outdoor,36
2018-03,Board Games,7
2018-03,Electronics,13
2018-03,Jigsaw Puzzles,9
2018-03,Lego,12
2018-03,Outdoor,39
2018-04,Board Games,7
2018-04,Electronics,13
2018-04,Jigsaw Puzzles,13
2018-04,Lego,15
2018-04,Outdoor,34
2018-05,Board Games,5
2018-05,Electronics,14
2018-05,Jigsaw Puzzles,8
2018-05,Lego,14
2018-05,Outdoor,37
2018-06,Board Games,8
2018-06,Electronics,17
2018-06,Jigsaw Puzzles,9
2018-06,Lego,13
2018-06,Outdoor,37
2018-07,Board Games,6
2018-07,Electronics,15
2018-07,Jigsaw Puzzles,11
2018-07,Lego,11
2018-07,Outdoor,39
2018-08,Board Games,6
2018-08,Electronics,15
2018-08,Jigsaw Puzzles,12
2018-08,Lego,12
2018-08,Outdoor,39
2018-09,Board Games,6
2018-09,Electronics,18
2018-09,Jigsaw Puzzles,7
2018-09,Lego,9
2018-09,Outdoor,38
2018-10,Board Games,4
2018-10,Electronics,14
2018-10,Jigsaw Puzzles,9
2018-10,Lego,14
2018-10,Outdoor,34
2018-11,Board Games,5
2018-11,Electronics,14
2018-11,Jigsaw Puzzles,11
2018-11,Lego,14
2018-11,Outdoor,37
2018-12,Board Games,4
2018-12,Electronics,16
2018-12,Jigsaw Puzzles,11
2018-12,Lego,12
2018-12,Outdoor,34
2019-01,Board Games,8
2019-01,Electronics,18
2019-01,Jigsaw Puzzles,12
2019-01,Lego,18
2019-01,Outdoor,43
2019-02,Board Games,10
2019-02,Electronics,19
2019-02,Jigsaw Puzzles,13
2019-02,Lego,15
2019-02,Outdoor,40
2019-03,Board Games,8
2019-03,Electronics,18
2019-03,Jigsaw Puzzles,15
2019-03,Lego,16
2019-03,Outdoor,39
2019-04,Board Games,4
2019-04,Electronics,12
2019-04,Jigsaw Puzzles,11
2019-04,Lego,18
2019-04,Outdoor,37
2019-05,Board Games,6
2019-05,Electronics,16
2019-05,Jigsaw Puzzles,12
2019-05,Lego,16
2019-05,Outdoor,38
2019-06,Board Games,4
2019-06,Electronics,16
2019-06,Jigsaw Puzzles,13
2019-06,Lego,13
2019-06,Outdoor,39
2019-07,Board Games,6
2019-07,Electronics,13
2019-07,Jigsaw Puzzles,13
2019-07,Lego,15
2019-07,Outdoor,37
2019-08,Board Games,9
2019-08,Electronics,16
2019-08,Jigsaw Puzzles,14
2019-08,Lego,13
2019-08,Outdoor,42
2019-09,Board Games,7
2019-09,Electronics,12
2019-09,Jigsaw Puzzles,14
2019-09,Lego,17
2019-09,Outdoor,41
2019-10,Board Games,9
2019-10,Electronics,15
2019-10,Jigsaw Puzzles,13
2019-10,Lego,17
2019-10,Outdoor,35
2019-11,Board Games,5
2019-11,Electronics,17
2019-11,Jigsaw Puzzles,9
2019-11,Lego,13
2019-11,Outdoor,40
2019-12,Board Games,5
2019-12,Electronics,18
2019-12,Jigsaw Puzzles,10
2019-12,Lego,14
2019-12,Outdoor,43
2020-01,Board Games,8
2020-01,Electronics,16
2020-01,Jigsaw Puzzles,15
2020-01,Lego,16
2020-01,Outdoor,42
2020-02,Board Games,9
2020-02,Electronics,19
2020-02,Jigsaw Puzzles,13
2020-02,Lego,17
2020-02,Outdoor,39
2020-03,Board Games,9
2020-03,Electronics,18
2020-03,Jigsaw Puzzles,14
2020-03,Lego,16
2020-03,Outdoor,44
2020-04,Board Games,8
2020-04,Electronics,17
2020-04,Jigsaw Puzzles,15
2020-04,Lego,19
2020-04,Outdoor,41
2020-05,Board Games,11
2020-05,Electronics,17
2020-05,Jigsaw Puzzles,15
2020-05,Lego,20
2020-05,Outdoor,42
2020-06,Board Games,8
2020-06,Electronics,17
2020-06,Jigsaw Puzzles,18
2020-06,Lego,19
2020-06,Outdoor,40
2020-07,Board Games,14
2020-07,Electronics,18
2020-07,Jigsaw Puzzles,16
2020-07,Lego,16
2020-07,Outdoor,45
2020-08,Board Games,8
2020-08,Electronics,15
2020-08,Jigsaw Puzzles,13
2020-08,Lego,16
2020-08,Outdoor,40
2020-09,Board Games,8
2020-09,Electronics,15
2020-09,Jigsaw Puzzles,11
2020-09,Lego,19
2020-09,Outdoor,39
2020-10,Board Games,9
2020-10,Electronics,18
2020-10,Jigsaw Puzzles,15
2020-10,Lego,16
2020-10,Outdoor,44
2020-11,Board Games,9
2020-11,Electronics,19
2020-11,Jigsaw Puzzles,13
2020-11,Lego,15
2020-11,Outdoor,42
2020-12,Board Games,8
2020-12,Electronics,17
2020-12,Jigsaw Puzzles,14
2020-12,Lego,20
2020-12,Outdoor,41
